#8
Processor0,4,292000,6,370
Processor1,4,341075.68806333205,6,432
Processor2,4,374223.2460160074,6,474
Processor3,4,423190.86542493216,6,536
Processor4,4,465636.9763511985,6,590
Processor5,4,491786.8965601305,6,623
Processor6,4,557551.1555176858,6,706
Processor7,4,584221.9997623919,6,740
#8
Memory0,4,480000,2.5,130
Memory1,4,560672.3639397239,2.5,151
Memory2,4,615161.5003002861,2.5,166
Memory3,4,695656.2171368748,2.5,188
Memory4,4,765430.6460567646,2.5,207
Memory5,4,808416.8162632282,2.5,218
Memory6,4,916522.4474263329,2.5,248
Memory7,4,960364.9311162607,2.5,260
#8
EthernetInterface0,4,120000,2.5,27
EthernetInterface1,4,140168.09098493098,2.5,31
EthernetInterface2,4,153790.37507507153,2.5,34
EthernetInterface3,4,173914.0542842187,2.5,39
EthernetInterface4,4,191357.66151419116,2.5,43
EthernetInterface5,4,202104.20406580705,2.5,45
EthernetInterface6,4,229130.61185658321,2.5,51
EthernetInterface7,4,240091.23277906518,2.5,54
#8
Storage0,4,200000,2.5,45
Storage1,4,233613.48497488495,2.5,52
Storage2,4,256317.29179178586,2.5,57
Storage3,4,289856.7571403645,2.5,65
Storage4,4,318929.4358569852,2.5,71
Storage5,4,336840.3401096784,2.5,75
Storage6,4,381884.3530943054,2.5,85
Storage7,4,400152.0546317753,2.5,90
572,27612
800
1,1,1,1
