#8
Processor0,2,292000,6,370
Processor1,2,341075.68806333205,6,432
Processor2,2,374223.2460160074,6,474
Processor3,2,423190.86542493216,6,536
Processor4,2,465636.9763511985,6,590
Processor5,2,491786.8965601305,6,623
Processor6,2,557551.1555176858,6,706
Processor7,2,584221.9997623919,6,740
#8
Memory0,2,480000,2.5,130
Memory1,2,560672.3639397239,2.5,151
Memory2,2,615161.5003002861,2.5,166
Memory3,2,695656.2171368748,2.5,188
Memory4,2,765430.6460567646,2.5,207
Memory5,2,808416.8162632282,2.5,218
Memory6,2,916522.4474263329,2.5,248
Memory7,2,960364.9311162607,2.5,260
#8
EthernetInterface0,2,120000,2.5,27
EthernetInterface1,2,140168.09098493098,2.5,31
EthernetInterface2,2,153790.37507507153,2.5,34
EthernetInterface3,2,173914.0542842187,2.5,39
EthernetInterface4,2,191357.66151419116,2.5,43
EthernetInterface5,2,202104.20406580705,2.5,45
EthernetInterface6,2,229130.61185658321,2.5,51
EthernetInterface7,2,240091.23277906518,2.5,54
#8
Storage0,2,200000,2.5,45
Storage1,2,233613.48497488495,2.5,52
Storage2,2,256317.29179178586,2.5,57
Storage3,2,289856.7571403645,2.5,65
Storage4,2,318929.4358569852,2.5,71
Storage5,2,336840.3401096784,2.5,75
Storage6,2,381884.3530943054,2.5,85
Storage7,2,400152.0546317753,2.5,90
572,13806
686
1,1,1,1
