#16
Processor0,1,292000,6,370
Processor1,1,341075.688063,6,432
Processor2,1,374223.246016,6,474
Processor3,1,423190.865425,6,536
Processor4,1,465636.976351,6,590
Processor5,1,491786.89656,6,623
Processor6,1,557551.155518,6,706
Processor7,1,584221.999762,6,740
Processor8,1,688277.002886,6,872
Processor9,1,725707.378365,6,919
Processor10,1,798083.222922,6,1011
Processor11,1,866517.740723,6,1097
Processor12,1,981065.959563,6,1243
Processor13,1,1048908.46265,6,1329
Processor14,1,1214211.09195,6,1538
Processor15,1,1223507.68935,6,1550
#16
Memory0,1,480000,2.5,130
Memory1,1,560672.36394,2.5,151
Memory2,1,615161.5003,2.5,166
Memory3,1,695656.217137,2.5,188
Memory4,1,765430.646057,2.5,207
Memory5,1,808416.816263,2.5,218
Memory6,1,916522.447426,2.5,248
Memory7,1,960364.931116,2.5,260
Memory8,1,1131414.25132,2.5,306
Memory9,1,1192943.63567,2.5,323
Memory10,1,1311917.62672,2.5,355
Memory11,1,1424412.72448,2.5,385
Memory12,1,1612711.1664,2.5,436
Memory13,1,1724233.08929,2.5,466
Memory14,1,1995963.43882,2.5,540
Memory15,1,2011245.51673,2.5,544
#16
EthernetInterface0,1,120000,2.5,27
EthernetInterface1,1,140168.090985,2.5,31
EthernetInterface2,1,153790.375075,2.5,34
EthernetInterface3,1,173914.054284,2.5,39
EthernetInterface4,1,191357.661514,2.5,43
EthernetInterface5,1,202104.204066,2.5,45
EthernetInterface6,1,229130.611857,2.5,51
EthernetInterface7,1,240091.232779,2.5,54
EthernetInterface8,1,282853.56283,2.5,63
EthernetInterface9,1,298235.908917,2.5,67
EthernetInterface10,1,327979.40668,2.5,73
EthernetInterface11,1,356103.181119,2.5,80
EthernetInterface12,1,403177.791601,2.5,90
EthernetInterface13,1,431058.272323,2.5,96
EthernetInterface14,1,498990.859704,2.5,112
EthernetInterface15,1,502811.379183,2.5,113
#16
Storage0,1,200000,2.5,45
Storage1,1,233613.484975,2.5,52
Storage2,1,256317.291792,2.5,57
Storage3,1,289856.75714,2.5,65
Storage4,1,318929.435857,2.5,71
Storage5,1,336840.34011,2.5,75
Storage6,1,381884.353094,2.5,85
Storage7,1,400152.054632,2.5,90
Storage8,1,471422.604716,2.5,106
Storage9,1,497059.848195,2.5,111
Storage10,1,546632.344467,2.5,122
Storage11,1,593505.301865,2.5,133
Storage12,1,671962.986002,2.5,151
Storage13,1,718430.453872,2.5,161
Storage14,1,831651.43284,2.5,187
Storage15,1,838018.965305,2.5,188
572,21670
800
1,1,1,1
