#8
Processor0,1,292000,6,370
Processor1,1,341075.688063,6,432
Processor2,1,374223.246016,6,474
Processor3,1,423190.865425,6,536
Processor4,1,465636.976351,6,590
Processor5,1,491786.89656,6,623
Processor6,1,557551.155518,6,706
Processor7,1,584221.999762,6,740
#8
Memory0,1,480000,2.5,130
Memory1,1,560672.36394,2.5,151
Memory2,1,615161.5003,2.5,166
Memory3,1,695656.217137,2.5,188
Memory4,1,765430.646057,2.5,207
Memory5,1,808416.816263,2.5,218
Memory6,1,916522.447426,2.5,248
Memory7,1,960364.931116,2.5,260
#8
EthernetInterface0,1,120000,2.5,27
EthernetInterface1,1,140168.090985,2.5,31
EthernetInterface2,1,153790.375075,2.5,34
EthernetInterface3,1,173914.054284,2.5,39
EthernetInterface4,1,191357.661514,2.5,43
EthernetInterface5,1,202104.204066,2.5,45
EthernetInterface6,1,229130.611857,2.5,51
EthernetInterface7,1,240091.232779,2.5,54
#8
Storage0,1,200000,2.5,45
Storage1,1,233613.484975,2.5,52
Storage2,1,256317.291792,2.5,57
Storage3,1,289856.75714,2.5,65
Storage4,1,318929.435857,2.5,71
Storage5,1,336840.34011,2.5,75
Storage6,1,381884.353094,2.5,85
Storage7,1,400152.054632,2.5,90
572,6903
743
1,1,1,1
